Station Name,Time Period,Avg Daily Entries,Date
Woodley Park,AM Peak (Open-9:30am),1.4,3/6/2024
Wiehle-Reston East,AM Peak (Open-9:30am),1.1,3/6/2024
Wheaton,AM Peak (Open-9:30am),1.1,3/6/2024
West Hyattsville,AM Peak (Open-9:30am),1.5,3/6/2024
West Falls Church,AM Peak (Open-9:30am),0.9,3/6/2024
Waterfront,AM Peak (Open-9:30am),1.1,3/6/2024
Virginia Sq-GMU,AM Peak (Open-9:30am),1.2,3/6/2024
Vienna,AM Peak (Open-9:30am),3,3/6/2024
Van Ness-UDC,AM Peak (Open-9:30am),1.5,3/6/2024
Van Dorn Street,AM Peak (Open-9:30am),1,3/6/2024
Union Station,AM Peak (Open-9:30am),5.3,3/6/2024
U Street,AM Peak (Open-9:30am),1.6,3/6/2024
Tysons,AM Peak (Open-9:30am),0.3,3/6/2024
Twinbrook,AM Peak (Open-9:30am),1.2,3/6/2024
Tenleytown-AU,AM Peak (Open-9:30am),1.1,3/6/2024
Takoma,AM Peak (Open-9:30am),2,3/6/2024
Suitland,AM Peak (Open-9:30am),1.6,3/6/2024
Stadium-Armory,AM Peak (Open-9:30am),0.8,3/6/2024
Spring Hill,AM Peak (Open-9:30am),0.2,3/6/2024
Southern Ave,AM Peak (Open-9:30am),1.8,3/6/2024
Smithsonian,AM Peak (Open-9:30am),0.2,3/6/2024
Silver Spring,AM Peak (Open-9:30am),3,3/6/2024
Shaw-Howard U,AM Peak (Open-9:30am),1.1,3/6/2024
Shady Grove,AM Peak (Open-9:30am),4.1,3/6/2024
Rosslyn,AM Peak (Open-9:30am),2.3,3/6/2024
Ronald Reagan Washington National Airport,AM Peak (Open-9:30am),0.6,3/6/2024
Rockville,AM Peak (Open-9:30am),1.3,3/6/2024
Rhode Island Ave,AM Peak (Open-9:30am),1.9,3/6/2024
Reston Town Center,AM Peak (Open-9:30am),0.4,3/6/2024
Potomac Yard,AM Peak (Open-9:30am),0.7,3/6/2024
Potomac Ave,AM Peak (Open-9:30am),1.5,3/6/2024
Pentagon City,AM Peak (Open-9:30am),2.8,3/6/2024
Pentagon,AM Peak (Open-9:30am),2.7,3/6/2024
North Bethesda,AM Peak (Open-9:30am),0.9,3/6/2024
NoMa-Gallaudet U,AM Peak (Open-9:30am),3.8,3/6/2024
New Carrollton,AM Peak (Open-9:30am),2.2,3/6/2024
Naylor Road,AM Peak (Open-9:30am),0.9,3/6/2024
Navy Yard-Ballpark,AM Peak (Open-9:30am),2.1,3/6/2024
Mt Vernon Sq,AM Peak (Open-9:30am),1,3/6/2024
Morgan Boulevard,AM Peak (Open-9:30am),0.7,3/6/2024
Minnesota Ave,AM Peak (Open-9:30am),0.8,3/6/2024
Metro Center,AM Peak (Open-9:30am),0.9,3/6/2024
Medical Center,AM Peak (Open-9:30am),0.5,3/6/2024
McPherson Sq,AM Peak (Open-9:30am),1.4,3/6/2024
McLean,AM Peak (Open-9:30am),0.4,3/6/2024
Loudoun Gateway,AM Peak (Open-9:30am),0.2,3/6/2024
Landover,AM Peak (Open-9:30am),0.8,3/6/2024
L'Enfant Plaza,AM Peak (Open-9:30am),1.5,3/6/2024
ing St-Old Town,AM Peak (Open-9:30am),1.6,3/6/2024
Judiciary Square,AM Peak (Open-9:30am),0.4,3/6/2024
Innovation Center,AM Peak (Open-9:30am),0.4,3/6/2024
Hyattsville Crossing,AM Peak (Open-9:30am),1.4,3/6/2024
Huntington,AM Peak (Open-9:30am),2.4,3/6/2024
Herndon,AM Peak (Open-9:30am),0.7,3/6/2024
Grosvenor-Strathmore,AM Peak (Open-9:30am),1.6,3/6/2024
Greensboro,AM Peak (Open-9:30am),0.3,3/6/2024
Greenbelt,AM Peak (Open-9:30am),1.9,3/6/2024
Glenmont,AM Peak (Open-9:30am),2.5,3/6/2024
Georgia Ave-Petworth,AM Peak (Open-9:30am),1.9,3/6/2024
Gallery Place,AM Peak (Open-9:30am),1,3/6/2024
Friendship Heights,AM Peak (Open-9:30am),1.6,3/6/2024
Franconia-Springfield,AM Peak (Open-9:30am),2.5,3/6/2024
Fort Totten,AM Peak (Open-9:30am),3.4,3/6/2024
Forest Glen,AM Peak (Open-9:30am),1,3/6/2024
Foggy Bottom-GWU,AM Peak (Open-9:30am),1.7,3/6/2024
Federal Triangle,AM Peak (Open-9:30am),0.1,3/6/2024
Federal Center SW,AM Peak (Open-9:30am),0.3,3/6/2024
Farragut West,AM Peak (Open-9:30am),0.8,3/6/2024
Farragut North,AM Peak (Open-9:30am),0.6,3/6/2024
Eisenhower Ave,AM Peak (Open-9:30am),0.8,3/6/2024
Eastern Market,AM Peak (Open-9:30am),1.4,3/6/2024
East Falls Church,AM Peak (Open-9:30am),1.7,3/6/2024
Dupont Circle,AM Peak (Open-9:30am),2.5,3/6/2024
Dunn Loring,AM Peak (Open-9:30am),1.3,3/6/2024
Dulles Airport,AM Peak (Open-9:30am),0.2,3/6/2024
Downtown Largo,AM Peak (Open-9:30am),1.8,3/6/2024
Deanwood,AM Peak (Open-9:30am),0.5,3/6/2024
Crystal City,AM Peak (Open-9:30am),2.2,3/6/2024
Court House,AM Peak (Open-9:30am),2.1,3/6/2024
Congress Heights,AM Peak (Open-9:30am),0.8,3/6/2024
Columbia Heights,AM Peak (Open-9:30am),2.7,3/6/2024
College Park-U of Md,AM Peak (Open-9:30am),0.9,3/6/2024
Cleveland Park,AM Peak (Open-9:30am),1.1,3/6/2024
Clarendon,AM Peak (Open-9:30am),1.3,3/6/2024
Cheverly,AM Peak (Open-9:30am),0.4,3/6/2024
Capitol South,AM Peak (Open-9:30am),0.8,3/6/2024
Capitol Heights,AM Peak (Open-9:30am),0.9,3/6/2024
Brookland-CUA,AM Peak (Open-9:30am),1.7,3/6/2024
Branch Ave,AM Peak (Open-9:30am),2.1,3/6/2024
Braddock Road,AM Peak (Open-9:30am),1.4,3/6/2024
Bethesda,AM Peak (Open-9:30am),2,3/6/2024
Benning Road,AM Peak (Open-9:30am),1.2,3/6/2024
Ballston-MU,AM Peak (Open-9:30am),2.7,3/6/2024
Ashburn,AM Peak (Open-9:30am),1,3/6/2024
Arlington Cemetery,AM Peak (Open-9:30am),0,3/6/2024
Archives,AM Peak (Open-9:30am),0.2,3/6/2024
Anacostia,AM Peak (Open-9:30am),1.6,3/6/2024
Addison Road,AM Peak (Open-9:30am),1,3/6/2024
Woodley Park,Midday (9:30am-3pm),0.9,3/6/2024
Wiehle-Reston East,Midday (9:30am-3pm),0.3,3/6/2024
Wheaton,Midday (9:30am-3pm),0.6,3/6/2024
West Hyattsville,Midday (9:30am-3pm),0.6,3/6/2024
West Falls Church,Midday (9:30am-3pm),0.3,3/6/2024
Waterfront,Midday (9:30am-3pm),0.9,3/6/2024
Virginia Sq-GMU,Midday (9:30am-3pm),0.5,3/6/2024
Vienna,Midday (9:30am-3pm),0.8,3/6/2024
Van Ness-UDC,Midday (9:30am-3pm),0.9,3/6/2024
